Hospital,#colm,var_colm_stuc,hd_tm,vr0,l_mark_for_render,hd_cl1,hd_cl1_0,hd_cl1_1,hd_cl2,hd_cl2_0,hd_cl2_1,hd_cl3,hd_cl3_0,hd_cl3_1,hd_cl4,hd_cl4_0,hd_cl4_1,hd_cl5,hd_cl5_0,hd_cl5_1,hd_cl6,hd_cl6_0,hd_cl6_1,hd_cl7,hd_cl7_0,hd_cl7_1,hd_cl8,hd_cl8_0,hd_cl8_1,hd_cl9,hd_cl9_0,hd_cl9_1,start1,start_no,start1_t,end1,end_no,end1_t,sbt,sbt_cnsd,sbt_not_cnsd,sbt_no,vacant_box,correct_box,correct_spl_box,boxwise_corr,spf_spl_corr,head_to_home,specific_head_corr,correct_head,cnt_cond,space_within_box,pre_peronailse_at_basic_ext,peronailse_at_basic_ext,peronailse_at_merge,num_data,fc_yes,add_head,head_pos_corr,add_subtotal,sift_sbt,head_to_head_sbt,add_to_cnld,one_to_many,recognise_head,one_to_two_line,w_mark_txt,crop_data_1,clean_data_1,cd1_yes,ss1_yes,skip_data_1,sd1_yes,addj_overlap,clean_amt,ca_yes,crop_shift_1,cs1_yes,correct_cld_1,prefer_next,shift_data_1,merge_param,merge_space,mp_else,merge_set,spl_bottom,qty,date,rate,total,discount,amount,disc_func,rate_func,dot_zz_func,datetime_func,dtf_yes,date_func,df_yes,head_list,hdl_no,lebels,head_identify_1,correct_combination,default_clm_rng
aj_N1035,6,,"Service,8",40,,"Service,Service","1,1,0","2,1,0","Service,Service","1,1,1","3,1,0","Service,Service","1,1,1","3,1,0","Rate,Rate","2,1,0","15,10,1","Rate,Rate","9,10,0","1,4,0","Bill Amount,Amount","7,10,0","1,2,0",,,,,,,,,,"Rate|Bill Amount|Research Centre,",,-10,"Total Bill Amount,KUNTIKANA",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Name|Age/Sex|Address|Corporate|MR545808,0,Kankanady|575002,1,Kankanady|575002,1,Kankanady|575002,1,Doctor Dr|Department :|Temple,0",,,,,,,,,"\d\s?\.\s?\d|\d+\.\d+\.\d+|\d\D\d,\d+\.\d+\.\d+|\d\D\d+\.\d+,\d\s?\.\s?\d,\D?\d+\.\d+\.\d+,4,4,5,5,3",,,,,,,,,,,,,,,,,,"Admission / Registration,Casualty Services,Consumables,Doctor Charges,MRD SERVICES,Procedures,Room Services,Services / Procedures,IP Package,Biochemistry,Pharmacy,Hematology,External LAB,Clinical Pathology,X-Ray,Immunohematology,Immunoassay,Intensive Care Services,Microbiology,Hospital Charges,OT Consumables,Ultrasound,Serology,Labour Room Services,CSSD,Intensive Care Charges,Medical Consumables",,"Item,Remark,Remark,Qty,Rate,Amount",,,
aj_N1035-pharma,6,,"Expiry,8",40,,"Item Name,Name","1,1,0","1,1,0","Batch,Batch","1,1,0","1,4,0","Expiry,Expiry","1,4,0","1,4,0","Qty,MRP","2,1,0","1,1,1","MRP,MRP","1,4,0","1,4,0","Amount,Amount","1,2,0","1,2,0",,,,,,,,,,"Expiry,",,1,"Total Bill Amount,",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d+\/\d+,\d+\/\d+,\d+\/\d+,\d+\/\d+,2,2,2,2,3",,,,,,,,,,,,,,,,,,Pharmacy,,"Item,Batch,Expiry,Qty,Rate,Amount",,,
Kanchi_N13513,6,,"Particular|culars,12",60,,"Date,Particular|culars","5,1,0","3,1,1","Particular,Particular|culars,0","1,1,0","15,4,0","Remark,Particular|culars,1","45,10,1","4,1,0","Rate,Rate|ROLe","4,1,0","0,1,0","Qty,Rate|ROLe","1,4,1","1,1,0","Amount,Amount|mount","1,1,0","1,1,0",,,,,,,,,,"Particular|culars,E-mail",,-15,"Total Bill Amount,Printed|Print|Regd off",,4,Total for,,,Total Vitamin,,,,"0,INFECTION CON,INFECTION CONTROL CHARGES#3,or MONITORING,Total for MONITORING#0,REGISTRATION F,REGISTRATION FEES#0,..'.:: GENERAL SURGERY,GENERAL SURGERY#3,i'dtal for Drugs & Consumables,Total for Drugs & Consumables#3,r RADIOLOGY,Total for RADIOLOGY#0,LABORATORY.,LABORATORY#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,"3,4,space#",yes,"Bill No,1,tient Name,2,moun,5,tient Name,2,Bill No|I.P. No.|I.P. NO.,0",,,,,,,,,"\d{2}\/\d{4}\s\d{2}|\d+\/\d+\/\d+|\d\/\d+\/\s\d|\d\/\D+\/\d|\d\/\d\D\/\d|\d\/\d+\:\d,\d\/\d{2}\/\d{4}\s|\d\/\d\D\d\/\d|\d\/\D+\d\/\d,\d+\/\d+\/\d+|\d+\-\/\d+|\d+\/\d\-\d\:\d+,\d+\s?\.\s?\d+|\d\.\D,0,0,0,5,3",,,,,,,,,,,,,,,,,,"General Surgery,Transfusion Medicine,Discharge Medication,Miscellaneous,Consultation IP,Urology,BED CHARGES,Radiology,Paediatrics,Pathology,Bed Side Procedures,Consumable,Pharmacy,Discharge Medication,Cardiology,IMPLANT,Anaesthesia,C-Arm Charges,EQUIPMENT CHARGES,Operation Theatre,Hospital Service Charges,Critical Care,Drugs,Medical Consumables,DIETICIAN,VISITING CONSULTANTS CHARGES,ADMISSION CHARGES,REGISTRATION,PATHOLOGY,RADIOLOGY,Non Medical Consumables,OT CHARGES,SURGERY / PACKAGE,ROOM CHARGES,IP VISIT,PROCEDURE,CENTRAL LABORATORY,RADIOLOGY,OUTSOURCE LAB,MEDICINE,DRUGS CONSUMABLES & IMPLANTS,Blood Bank,INTENSIVE CARE UNIT,Regular Services,PHARMACY,PAEDIATRICS,SERVICE,Round Off,OBSTETRICS,CASUALTY,FOOD & BEVERAGES,LABORATORY,CONSULTATION,PACKAGE,AUDIOLOGY,REGISTRATION,EQUIPMENT,NURSING CARE,REGISTRATION FEES,OTHER SERVICES,MEDICINE,INFECTION CONTROL CHARGES,MONITORING,Diet Charges,NON MEDICAL CONSUMABLES,INSTRUMENT CHARGES,ANAESTHESIA,IPD PACKAGE,CARDIOLOGY,GENERAL SURGERY,PROCEDURE CHARGES,MONITOR CHARGES,SURGERY,O.T. CHARGES,O.T.CONSUMABLES,O.T. DRUGS,Drugs & Consumables,OTHERS,IP VISIT,OUTSIDE INVESTIGATIONS,GENERAL PAEDIATRICS,PEDIATRIC CARDIOLOGY,PEDIATRIC EMERGENCY,PEDIATRIC GASTROENTEROLOGY,MATERIALS",,"Date,Item,Remark,Rate,Quantity,Amount",,,
Kanchi_N13513-pharma(Hold),6,,"Bill Numb,33",60,,"Bill Numb,Numb","1,1,0","1,1,0","Bill Date(dummy),Date|Dat","7,1,1","7,1,0","Product(dummy),Product","1,10,0","1,10,0","Expiry(dummy),Expiry","7,1,1","7,1,0","Expiry,Expiry","1,2,0","1,10,1","Bill Amount,Amou","1,10,0","1,10,0",,,,,,,,,,"Product,",,1,"Month Tot,",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d+\/\d+\/\d+|\d+\/\d+\s?\d+\/\d+|\d+\D\d+\/\d+|\D\/\d+\/\d+,\d+\/\d+\/\d+|\d+\s\d+\/\d+,\d+\/\d+\/\d+,\d+\/\d+\/\d+,4,4,4,4,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Code,Date,Item,Qty,Remark,Amount",,,
Shukan_N15961,6,,"Rate,10",40,,"SERVICE,SERVICE","1,1,0","1,1,0","Date,Date","1,1,0","1,4,0","QTY,QTY","4,10,0","1,1,0","Rate,Rate","1,1,0","1,1,0","Rate(dummy),Rate","5,1,1","5,1,0","NET,NET","1,1,0","1,1,0",,,,,,,,,,"SERVICE,Ref. Dr",,1,"Service Charge|Access Charge,PRINTED ON",,10,Subtotal,,,Total Vitamin,,,,"0,""Physiotherapy,Physiotherapy#0,pd Procedure,Ipd Procedure#",,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,"\d+\-\d+\-\d+,\d+\-\d+\-\d+,\d+\-\d+\-\d+,\d+\-\d+\-\d+,1,1,1,1,3",,,,,,,,,,,,,,,,,,"Room charges,Pathology,Radiology,Doctor,Ward Procedure,Opd Procedure,Cardiology,Pharmacy Charges,Pharmacy Return Charges,Biomedical,Physiotherapy,Ipd Procedure,Gastrology,Ambulance Services,General surgery",,"Item,Date,Qty,Rate,Remark,Amount",,,
Shukan_N15961-pharma,6,,"Batch,7",40,,"Date,Date","2,1,0","1,10,0","Medicine,Medicine","1,1,0","1,1,0","Qty,Exp","28,10,0","1,1,0","MRP,MRP","1,1,0","1,4,0","Total,Total","1,1,0","1,2,0","Net,Net","1,1,0","1,1,0",,,,,,,,,,"Medicine,",,10,"Total Sales,PAGE",,1,Total,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Disc,4,Disc,4,Disc,4,Disc,4,Disc,4",,,,,,,,,"\d+\-\d+\-\d+|\d+\s\-\d+\-\d+,\d+\-\d+\-\d+|\d+\s\d+\-\d+,\d+\-\d+\-\d+,\d+\-\d+\-\d+,0,0,0,0,3",,,,,,,,,,,,,,,,,,"Pharmacy,Pharmacy Return",,"Date,Item,Qty,Rate,Remark,Amount",,,
Vadamalayan_N2487,6,yes,"Address,8",40,,"Address,Address,0,Address,0","1,1,0","1,2,0","Address,Address,0,Address,0","1,1,1","3,1,0","Address,Address,0,Address,0","3,1,1","4,1,0","Qty,Case Type|Case lype,0,Case Type|Case lype,2","35,10,1","45,10,0","Qty,Case Type|Case lype,0,Case Type|Case lype,2","57,10,1","63,10,0","Qty,Case Type|Case lype,0,Case Type|Case lype,2","75,10,1","9,1,0",,,,,,,,,,"Contact No,",,1,"Bill Total|BIBI Total,Bill Prepared",,1,Sub Total,,,Total Vitamin,,,,"4,sub Total,Sub Total#0,ROUND OFF !,ROUND OFF#0,PHYSIOTHERAPY :,PHYSIOTHERAPY#0,PHARMACY CHARGES IP .,PHARMACY CHARGES IP#0,BIOCHEMISTRY WARD LAB :,BIOCHEMISTRY WARD LAB#0,BIOCHEMISTRY WARD LAB ;,BIOCHEMISTRY WARD LAB#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"SERVICE DATE,0,SERVICE DATE,0,QTY RATE,3,SERVICE DATE,0,AMOUNT|CODE|OD'OTZE,5",,,,,,,,,"\d+\-\d+\-\d+|\d+\s\-\d+\-\d+|\d+\s\d+\s\d+|\d+\-\d|\d+\/\d+\/\d+|\D\/\d+\/\d+,\d+\-\d+\-\d+|\d+\s\d+\-\d+|\d+\-\d\D\-\d+|\d+\/\d+\/\d+,\d+\-\d+\-\d+|\d+\/\d+\/\d+,\d+\-\d+\-\d+|\d+\/\d+\/\d+,0,0,0,0,3",,,,,,,,,,,,,,,,,,"BED CHARGES,BIOCHEMISTRY,BIOCHEMISTRY WARD LAB,CONSULTANT PROCEDURE CHARGES,CONSULTATION CHARGES,ECG,ECHO & HOLTER,HAEMATOLOGY,HOSPITAL SERVICES,INSTRUMENTATION AND BIOMEDICAL EQUIPMENTS,MOLECULAR BIOLOGY,MRI,NURSING CHARGES,NUTRITION CHARGES,PHARMACY CHARGES IP,REGISTRATION CHARGE,SEROLOGY,X RAY,ANESTHISIA CHARGES,DRESSING CHARGES,HISTOPATHOLOGY,POST OPERATIVE CARE,ROUND OFF,ACCIDENT REGISTRATION CHARGES,CLINICAL PATHOLOGY,CTSCAN16,EMERGENCY WARD CHARGES,ENDOCRINOLOGY,MATERIAL AND IMPLANTS CHARGES,PHARMACY CHARGES,PHYSIOTHERAPY,ULTRASOUND,OXYGEN CHARGES,MICROBIOLOGY,LAB OUTSOURCE,BLOOD BANK CHARGES,RADIOTHERAPHY DS,RADIOTHERAPHY",,"Date,Item,Remark,Qty,Rate,Amount",,,
apollo_N8396,6,,"Amount,15",40,,"Service,Service","1,1,0","1,1,0","Service,Service","1,1,1","2,1,0","Qty,Rate","2,1,0","1,1,1","Rate,Rate","1,2,0","1,4,0","Remark,Amount","1,1,0","1,2,1","Amount,Amount","1,10,0","1,1,0",,,,,,,,,,"Service Name,",,1,"Bill Amount,",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,2,2,2,3,3",,,,,,,,,,,,,,,,,,Head,,"Item,Remark,Qty,Rate,Remark,Amount",,,
KMS_N2554,6,,"Service,9",60,,"Service,Service","2,1,0","1,1,0","Service(dup),Service","1,1,1","2,1,0","Service(dup),Service","1,1,1","2,1,0","Rate,Rate","1,1,0","1,10,1","Qty,Rate","1,10,1","1,1,0","Bill Amount,Amount","1,2,0","1,1,0",,,,,,,,,,"Service|Rate,NEW AGE FAMILY|THE NEY|THE NEV",,1,"Total Bill,kauveryhospital.com|Cantonment|Office",,1,Sub Total,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Cantonment,0,Hospital,5,Hospital,5,Hospital,5,Hospital|ospital,5",,,,,,,,,"\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,3,3,5,5,2",,,,,,,,,,,,,,,,,,"Doctor Fees,Record Maintenance & Establishment Charges,Registration Charge,Ward Charges,Ward Procedure,Biochemistry,Haemotology,Biochemistry,Ultrasound,Pharmacy,Xray,Record Maintenance,SEROLOGY,Pathology,MRI,OT Charges,Instrument Charges,OT Material,Cardiology,Immunoassay.,Dialysis Charges,CT Scan,Package,Blood Bank,Microbiology,Histopathology,Hospital,Medical,Ambulance Charges,Room Charge",,"Item,Remark,Remark,Rate,Qty,Amount",,,
KMS_N2554-pharma,6,,"Item Name|Item Nam,10",40,,"Bill details,Bill","2,1,0","1,2,0","Item Name,Nam","3,1,0","1,2,0","Category,Catego","1,2,0","1,4,0","Sale,Sale","1,10,0","1,10,0","Selling,Selling|elling","1,2,0","1,4,0","NetAmt,Net","1,2,0","1,2,0",,,,,,,,,,"Item Nam|S/O,",,1,"Grand,",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Mr.,1,Y/M,1,Y/F,1,Qty,3,Rate,4",,,,,,,,,"\d\s?\.\s?\d|\d\s\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,4,4,5,5,2",,,,,,,,,,,,,,,,,,Pharmacy,,"Date,Item,Remark,Qty,Rate,Amount",,,
bhagwan_N15792,6,yes,"Telephone|Telephon|I'clephone|I'elephant|Bill No,10",40,,"Vch Date,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","1,2,0","1,1,0","Description,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","3,1,1","4,1,0","Patient Class,Telephone|Telephon|I'clephone|I'elephant,0,Telephone|Telephon|I'clephone|I'elephant,2","5,1,1","6,1,0","Units/Qt,Pan No,0,Pan No,2","1,1,1","3,2,0","Remark,Pan No,0,Pan No,0","1,10,1","3,10,1","Amount,Pan No,0,Pan No,2","38,10,1","8,1,0",,,,,,,,,,"Telephone|Telephon|I'clephone|I'elephant,Description",,3,"Gross Total,Concession Details,Page",,40,SubTotal ,,,Total Vitamin,,"0,PHYSIOTHERAPI,PHYSIOTHERAPY# 0,TOLOGY,HAEMATOLOGY#0,WARD / OF PROCEDURE,WARD / OT PROCEDURE#1,02-03-2022CONSUMABLES,CONSUMABLES#0,Sub Total For,SubTotal For#0,HAEMAHAEMATOLOGY,HAEMATOLOGY#0,VURSING CHARGES,NURSING CHARGES#0,HEMAHAEMATOLOGY,HAEMATOLOGY#0,PHIDKE,PHADKE#0,PHARMA ICY,PHARMACY",,"0,TORS VISIT,DOCTORS VISIT#0,SYSTE,SYSTEM#0,CAL PROCEDURE CHARGES,SURGICAL PROCEDURE CHARGES#0,MEDICINE & MATE,MEDICINE & MATERIALS#0,PHARM .CYCONSUMABLES,PHARMACY CONSUMABLES#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,"5,4,space#",yes,"Vch No.ch Date SACCd|Start Date,0,Description,1,Patient Class,2,Units/O|Rate|Fate|Race|ate,3,Amount|Amt|RateAm|Race|Am|Art.t,5",,,,,,,,,"\d\-\d{2}\-\d|\d\s\d\-\d{2}\-\d|\d\-\d{2}\-\d{4}|Package|\d-\d+\-\d+\s\d+,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d|\D\.\d,0,5,5,5,5,5,2",,,"PACKAGE COLLECTION,GENERAL,IMPLANT CHARGES,ORTHOPAEDIC SURGERY,INSTRUMENTATION CHARGES,DIETARY,MISCELLANEOUS, NURSING CARE CHARGES,ONCOLOGY,COMMON BEDSIDE PROCEDURES,PHARMACY CONSUMABLES,ONCOLOGYSURGERY,DOCTOR VISIT CHARGES,BED CHARGES,NURSING CARE CHARGES,ROUNDING OFF,PLASTIC HAND&RECONS. SURG,OT CHARGES,OT CONSUMABLES,VASCULAR / FOOTCLINIC,CARDIOLOGY,EMERGENCY DEPARTMENT,SONOGRAPHY,MRI,CT,X-RAY,IMMUNOLOGY,DIAGNOSTIC PROFILES,HAEMATOLOGY,BIOCHEMISTRY,SEROLOGY,SURGICAL GASTROENTEROLOGY,HISTOPATHOLOGY,MICROBIOLOGY,GYNAECOLOGY ONCOLOGY SURG,PHARMACYCONSUMABLES,BLOOD BANK",,,,,,,,,,,,,,,"PACKAGE CHARGES,GENERAL CHARGES,IMPLANT CHARGES,SURGICAL PROCEDURE CHARGES,INSTRUMENTATION CHARGES,MISCELLANEOUS CHARGES,PROCEDURES CHARGES,MEDICINE & MATERIALS,DOCTOR'S FEES,ROOM CHARGES & BED SERVICES,OPERATION THEATRE CHARGES,LABORATORY CHARGES,RADIOLOGY & IMAGING CHARGES",,"Date,Description,Remark,Qty,Remark,Amount",,,
bhagwan_N15792-pharma,6,,"Item Name|tem Name|item Nam|Item Nam,10",40,,"Trn Date,Trn|I'm|trn|Im","2,1,0","1,10,0","HSN Code,HSN","2,10,0","1,10,0","Item Name,Item|tem|item","1,1,0","3,1,0","Unit,Unit","3,2,0","2,10,0","Quantity,Quantity|Quan","1,10,1","1,10,0","Amount,Amount","1,1,0","1,10,0",,,,,,,,,,"tem Name,",,8,"COST HEAD,",,1,Grand Total,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,,"0,1,space#",yes,"Patient's Signature,0,Patient's Signature,0,PM,4,Patient's Signature,0,Total For|Total F|al For,0",,,,,,,,,"\d\/\d{2}\/\d{2},\d\s?\.\s?\d,\d\s?\.\s?\d,\d\s?\.\s?\d,0,5,5,5,3",,,,,,,,,,,,,,,,,,Medicines,,"Date,Code,Description,Remark,Quantity,Amount",,,
Rubanhospital_N0330,6,yes,"Amount,8",40,,"Date,Particulars,0,Particulars,0","4,1,0","1,2,1","Particulars,Particulars,0,Particulars,0","1,2,0","2,1,0","Particulars,Particulars,0,Particulars,0","2,1,1","45,10,0","Qty,AGE|GE,0,AGE|GE,0","5,1,0","2,1,0","Rate,AGE|GE,0,AGE|GE,0","2,1,1","4,1,0","Amount,Amount,0,Amount,0","1,2,0","1,2,0",,,,,,,,,,"HOSPITAL NO,",,20,"zzz,",,1,TOTAL,,,Total Vitamin,,,,"0,P CONSULTATION,IP CONSULTATION#0,- - - - DIAGNOSTIC IMAGING,DIAGNOSTIC IMAGING#0,- - - -. AMBULANCE SERVICES,AMBULANCE SERVICES#0,- - - - ADMISSION / MRD CHARGES,ADMISSION / MRD CHARGES#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"From Date|. . . . .,0,Type,2,. . . . .,5,Type,2,. . . . .,4",,,,,,,,,"\d+\-\w+\-\d+|\w+\-\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,\d+\-\w+\-\d+,0,0,0,0,0,0,2",,,"BIOCHEMISTRY,CLINICAL PATHOLOGY,HAEMATOLOGY & COAGULATION,MICROBIOLOGY,DIAGNOSTIC IMAGING,O T CHARGES,OTHERS,BLOOD,ADMISSION / MRD CHARGES,Surgery Name,Surgery Date,ROUTINE DOCTOR VISITS,HISTOPATHOLOGY,GENERAL PROCEDURE,CASUALITY CHARGE,DIALYSIS PACKAGE,IMMUNOLOGY,CARDIOVASCULAR,COMPUTED TOMOGRAPHY,DIAGNOSTIC ULTRASOUND,AMBULANCE SERVICES,RESPIRATORY MEDICINE,UROFLOWMETRY,dialysis services,ONCOLOGY SERVICES,IP SALE,IP SALE RETURN",,,,,,,,,,,,,,,"BED CHARGES,LABORATORY,RADIOLOGY,OT SERVICES,WARD PROCEDURE,REGISTRATION,HOSPITAL PROCEDURE,IP CONSULTATION,DIALYSIS SERVICES,CARDIOLOGY,HOSPITAL PROCEDURE,IP DRUG SALE,IP DRUG SALE RETURN",,"Date,Item,Remark,Qty,Rate,Amount",,,
raheja,6,,"Description,12",60,,"Vch,Vch|No.","1,1,0","1,4,0","Date,Date","1,1,0","1,10,0","Description,Description","1,2,0","1,1,0","Lab,Lab","45,10,0","1,4,0","Qty,Qty|ty","1,4,0","1,10,0","Amt,Amt","1,1,0","1,2,0",,,,,,,,,,"Description,UHID No|JHID",,1,"Total For Bill,CrtUsr|ProtUsr|CrtUsr|ProtUsr|PrntUsr|Pro:Usr",,1,Sub Total,,,Total Vitamin,,,,"0,mplants,Implants#3,ub Total For:- Serology,Sub Total For:- Serology#0,surgery,Surgery#0,consultation,Consultation#0,aboratory,Laboratory#0,consumables,Consumables#3,npatient Services,Inpatient Services#3,ub Total For:- Bed Charges,Sub Total For:- Bed Charges#3,.Inpatient Services,Inpatient Services#0,Consumable,Consumables#3,mplants,Implants#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Sharer,2,Sharer,2,Sharer,2,Sharer,2,CrtUsr,0",,,,,,,,,"\d\/\d+\/\d+,\d\/\d+\/\d+,\d\/\d+\/\d+,\d\/\d+\/\d+,\d\/\d+\/\d+,\d\/\d+\/\d+,1,1,1,1,1,1,2",,,"Inpatient Visit,bed charges,Biochemistry,Hematology,Serology,consumables,Cardiology,X-Ray,pharmacy,Bed Side Services,Inpatient Services,implants,Anesthesiology,OT,food and beverage,Medical Oncology,Second Sub Surgery,surgery,CT Scan,Histopathology,Microbiology,Ultrasound,Clinical Pathology,OP / Ward Procedure,Blood Bank Diagnostics",,,,,,,,,,,,,,,"Consultation,Bed Charges,Consumables,Laboratory,Food and Beverage,Procedure,Radiology,Pharmacy,Hospital Services,Implants,Surgery,GST",,"Code,Date,Item,Remark,Qty,Amount",,,"135, 386, 464, 660, 749, 1119, 1208, 1959, 2131, 2218, 2270, 2540"
Sushrut_N1598,6,yes,"Ward|Code|Days|Type,6",80,,"Patient,Patient,0,Patient,0","2,1,0","3,1,0","Date,Discharge Type,0,Discharge Type,0","4,1,0","3,1,0","Qty,Discharge Type,0,Discharge Type,0","3,1,1","55,10,0","Rate,Bed/ Ward|Bed / Ward|Bed/Ward,0,Bed/ Ward|Bed / Ward|Bed/Ward,0","1,1,0","3,1,0","Remark,Net,0,Net,0","4,1,1","4,1,0","Amount,Bed/ Ward|Bed / Ward|Bed/Ward,2,Bed/ Ward|Bed / Ward|Bed/Ward,2","25,10,0","3,1,0",,,,,,,,,,"Receivable From Patient,Hosp. Pan",,1,"Advance Details,Print Time|Total Amount of|Note :|Final Bill of",,1,Total,,,Total Vitamin,,,,"1,[PD Service Details,IPD Service Details#",,,,,,yes,yes,,,,,,,,,,,,,,,,,,,yes,"Service Name|Test Name|Package Name,0,Reg. Type|Doctor Name|Voucher Dt,0,CurrentOutstanding|Surgeon Name|Anesthetic Name|Voucher Date|Reg. No.|Reg. Type|Surgery :,0,GST No|Reg. Dt,1,High Risk,5",,,,,,,,,"\d+\-\w+\-\d+|\w+\-\d+|\d\/\w+\/\d+,\d+\-\w+\-\d+|\d\/\w+\/\d+,Pkg Free|\d+|\w+,Pkg Free|\d+|\w+,1,1,5,3,3",,,,,,,,,,,,,,,,,,"IPD Service Details,Visit Charge Details,Pathology Test Details,Radiology Test Details,Procedure Test Details,Bed Charge Details,OT Details,Pharmacy Challan Details,Patient's Package Details",,"Item,Date,Qty,Rate,Remark,Amount",,,"32, 493, 595, 1330, 1330, 1600, 1629, 2049, 2128, 2128, 2074, 2704"
LVPrasad_N0071,6,yes,"Hyderabad|Total|TOTAL,10",40,,"Item,Hyderabad,0,Hyderabad,0","1,1,0","5,1,0","Remark,Hyderabad,2,Hyderabad,2","6,1,1","6,1,0","Remark,Hyderabad,2,Hyderabad,2","6,1,1","6,1,0","Remark,Hyderabad,2,Hyderabad,2","6,1,1","6,1,0","Remark,Hyderabad,2,Hyderabad,2","6,1,1","6,1,0","Remark,Hyderabad,2,Hyderabad,2","6,1,1","6,1,0",,,,,,,,,,"Sub:|Sub;,",,20,"enclosed|TOTAL|enclosing|Total,",,1,Subtotal,,,Total Vitamin,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"material charges|MATERIAL CHARGES|Material Charges|\w+,\w+,\d+,\d+,0,0,5,5,3",,,,,,,,,,,,,,,,,,"Surgeon fee,Theatre Charges,MATERIAL CHARGES,IOL,Surgical Disposables,Medicines,A-Scan,Anesthesia,Package,Cassette,Surgeon Fee,Material Charges,Surgery charges,Theatre charges,Material charges,Theater charges,Anaesthesia,Anaesthesia(GA),Procedure Charges,IV Avastin Injection",,"Item,Remark,Remark,Remark,Remark,Amount",,,
